municipio_codigo,municipio_nome,uf,regiao,tipo_urbano,gini,idhm_100,distancia_capital,dens_demografica,pop_idosa,cobertura_aps,profissionais_100_mil,renda_capta,coleta_lixo_perc,esgoto_sanitario_perc,cob_vac_gripe_idosos
2110708,São Domingos do Maranhão,MA,Nordeste,Semi_Urbano,0.5944,58.199999999999996,335.6385913,29.84779223,3710,100,124.4765007,230.01,16.6,16.2,94.23
2108058,Paulino Neves,MA,Nordeste,Rural,0.6201,56.10000000000001,195.9693621,16.50031284,1188,100,129.2836818,158.01,0.1,12.4,98.66
2102507,Cajari,MA,Nordeste,Rural,0.6273,52.300000000000004,117.9015523,29.37924618,1644,89.35,80.20153205,131.18,3.7,6,81.62
2109205,Presidente Juscelino,MA,Nordeste,Rural,0.6115,56.3,50.2531994,36.1056113,915,100,90.35675339,132.33,3.4,1.1,90.45
2105203,Igarapé Grande,MA,Nordeste,Rural,0.5319,61.4,243.7717442,32.88968222,1359,100,122.9472205,287.25,40,20.3,101.19
2110237,Santana do Maranhão,MA,Nordeste,Rural,0.5744,51,220.5071031,14.53493986,1235,100,92.27135159,126.07,0.5,1.4,85.65
2112308,Tuntum,MA,Nordeste,Rural,0.5713,57.199999999999996,303.0485856,12.4780321,4524,100,147.2407231,212.73,22.1,12.3,86.51
2108405,Peri Mirim,MA,Nordeste,Rural,0.5392,59.9,61.59762967,36.04325693,1545,100,87.83548275,185.19,0.1,0.6,91.09
2100402,Altamira do Maranhão,MA,Nordeste,Rural,0.5265,54.900000000000006,222.0672783,15.61671631,781,100,112.3458298,159.62,0.1,5.1,86.3
2100600,Amarante do Maranhão,MA,Nordeste,Rural,0.5902,55.50000000000001,431.4084606,5.609026811,3555,100,193.8699705,230.13,14.7,5,88.4
2111029,São João do Carú,MA,Nordeste,Rural,0.5286,50.9,245.5000358,17.34711257,1033,100,117.8184582,164.49,2.7,2.6,91.03
2108702,Pio XII,MA,Nordeste,Semi_Urbano,0.5391,54.1,178.5132436,39.21744873,2379,100,130.9696431,219.7,22.3,6.2,96.99
2104206,Fortuna,MA,Nordeste,Rural,0.5703,57.99999999999999,354.6644306,22.3977877,2068,100,102.1391405,251.02,18,18.3,77.98
2106706,Mirador,MA,Nordeste,Rural,0.6466,54.50000000000001,425.3211762,2.467746283,2075,100,130.2838667,159.65,12.3,12.8,84.19
2113009,Vitorino Freire,MA,Nordeste,Rural,0.5796,56.99999999999999,221.138326,26.41394018,3759,100,103.4198338,262.02,29.6,3.6,99.56
2101608,Barra do Corda,MA,Nordeste,Urbano,0.6321,60.6,345.3253856,17.08338209,9343,58.94,129.9888291,295.01,37.1,13.4,93.36
2104099,Formosa da Serra Negra,MA,Nordeste,Rural,0.6331,55.60000000000001,479.8177159,5.218107576,1425,100,100.2180912,154.84,10,0.3,82.67
2101939,Bernardo do Mearim,MA,Nordeste,Rural,0.4736,60.4,237.7537165,24.56854353,716,100,121.8508151,233.88,19.9,7.5,99.74
2112407,Turiaçu,MA,Nordeste,Rural,0.5927,56.10000000000001,152.6582885,13.61753374,2797,87.47,86.25276541,169.78,3,2.9,86.91
2101707,Barreirinhas,MA,Nordeste,Rural,0.6133,56.99999999999999,165.2507107,20.75375626,4484,100,119.4299002,193.23,17.1,0.1,89.38
2107258,Nova Colinas,MA,Nordeste,Rural,0.5452,56.599999999999994,552.0838264,7.303336765,571,100,141.8831767,180.02,9.2,4.6,75.23
2112506,Tutóia,MA,Nordeste,Rural,0.5667,56.10000000000001,226.2010664,37.92781978,4705,94.66,80.97915755,233.11,6.5,0.7,86.71
2103901,Duque Bacelar,MA,Nordeste,Rural,0.6053,53.300000000000004,233.5821922,35.90934002,989,100,111.3937374,161.19,0.1,6.9,91.12
2106904,Monção,MA,Nordeste,Rural,0.5201,54.6,149.8727452,27.02746101,2725,93.52,124.7623574,174.12,1.1,6.7,84.63
2108009,Pastos Bons,MA,Nordeste,Semi_Urbano,0.5634,61,450.9030852,11.97604424,2112,100,129.1936884,224.25,36.3,0.5,72.36
2109908,Santa Inês,MA,Nordeste,Urbano,0.5378,67.4,173.0403633,113.7539739,8905,95.83,162.2545788,398.2,75.2,52.6,87.58
2107605,Palmeirândia,MA,Nordeste,Rural,0.5755,55.60000000000001,68.65826653,37.17108168,2023,100,114.251049,165.92,0.5,0.6,91.23
2104404,Gonçalves Dias,MA,Nordeste,Rural,0.5976,56.8,288.8425573,20.3081074,2138,100,97.52563531,231.09,11.4,19,96.82
2111763,Senador La Rocque,MA,Nordeste,Rural,0.5389,60.199999999999996,462.4577943,19.26476624,1779,100,146.2625694,269.97,40.6,5.7,99.29
2107001,Montes Altos,MA,Nordeste,Rural,0.5774,57.49999999999999,477.0974488,6.12087365,1054,100,121.830754,213.09,22.6,1.7,90.73
2108801,Pirapemas,MA,Nordeste,Semi_Urbano,0.6015,57.599999999999994,132.1949063,27.17923924,1709,100,127.1367521,178.12,6.5,6.3,94.63
2106300,Magalhães de Almeida,MA,Nordeste,Rural,0.5924,56.699999999999996,251.9140983,46.10377204,1807,100,89.86968895,178.1,14.2,0.4,88.13
2106003,Lima Campos,MA,Nordeste,Rural,0.5596,58.099999999999994,220.3408593,37.0202403,1546,100,194.6635342,290.79,22.4,19.8,96.64
2102077,Bom Lugar,MA,Nordeste,Rural,0.4934,56.2,219.5401301,36.92513663,1338,100,60.2263049,161.23,2.8,0.6,95.96
2108454,Peritoró,MA,Nordeste,Rural,0.614,56.39999999999999,203.3042852,28.32944315,2274,100,211.008389,171.7,1.4,6.9,86.83
2106409,Mata Roma,MA,Nordeste,Rural,0.5793,56.99999999999999,177.7204826,30.94897803,1418,100,183.1890204,154.02,8.9,11.2,90.83
2109502,Riachão,MA,Nordeste,Rural,0.6234,57.599999999999994,593.3577658,3.146733554,2412,100,95.79114552,250.92,34.4,17.9,89.61
2112233,Trizidela do Vale,MA,Nordeste,Urbano,0.4797,60.6,228.048885,75.82730359,2472,100,95.87554269,261.24,53.2,12.5,77.08
2105351,Itaipava do Grajaú,MA,Nordeste,Rural,0.5566,51.800000000000004,333.2100946,13.03200423,1175,100,99.89517173,135.2,0.2,1.8,76.69
2105609,Joselândia,MA,Nordeste,Rural,0.5768,56.10000000000001,273.5572276,23.03859726,1779,100,117.9157921,218.31,7.8,8.2,89.9
2110104,Santa Quitéria do Maranhão,MA,Nordeste,Rural,0.5112,55.50000000000001,220.5119528,18.01262646,2436,100,114.1127154,168.14,3.5,8.9,104.92
2102150,Brejo de Areia,MA,Nordeste,Rural,0.4897,51.9,244.7927145,9.141654057,670,100,86.53206124,180.62,0,1,67.16
2104081,Fernando Falcão,MA,Nordeste,Rural,0.5493,44.3,406.3764999,2.056387886,696,100,130.9751434,106.7,0,0.2,105.16
2111573,São Pedro dos Crentes,MA,Nordeste,Rural,0.506,60,535.9077364,4.780006429,449,100,241.2467976,252.69,9.4,12.7,84.61
2104677,Governador Nunes Freire,MA,Nordeste,Semi_Urbano,0.5675,56.89999999999999,181.5218584,24.62468543,2072,100,141.3524414,226.35,7.9,10.2,80.76
2105906,Lago Verde,MA,Nordeste,Rural,0.5135,55.7,181.1552902,25.83557023,1552,100,69.87863185,187.02,0.8,13.4,83.78
2106359,Marajá do Sena,MA,Nordeste,Rural,0.6256,45.2,264.4242605,5.543304437,354,88.35,86.17363344,95.59,0,0.6,79.95
2111102,São João dos Patos,MA,Nordeste,Urbano,0.5605,61.5,443.5429625,17.52631881,3464,100,149.2537313,352.91,30,27.5,83.33
2112852,Vila Nova dos Martírios,MA,Nordeste,Rural,0.4672,58.099999999999994,517.6331464,11.42681394,935,100,116.1935579,247.23,21.8,3.1,80.17
2103174,Centro Novo do Maranhão,MA,Nordeste,Rural,0.5576,51.800000000000004,208.0624167,2.599689585,1076,100,87.91208791,182.88,0.6,0.7,103.5
